,heartrate,steps_window_12
2024-12-15 14:20:00,0.20286821328742477,0.1128201046492154
2024-12-15 14:40:00,0.21371977435500913,0.1128201046492154
2024-12-15 15:00:00,0.2296353972541322,0.1128201046492154
2024-12-15 15:10:00,0.2629135178613882,0.11282010464921509
2024-12-15 16:20:00,0.2781057033560063,0.1128201046492154
2024-12-15 17:30:00,0.2824463277830401,0.1128201046492154
2024-12-15 17:40:00,0.26452022186441887,0.1304820077485189
2024-12-15 18:00:00,0.23972146060299662,0.14814391084782214
2024-12-15 18:10:00,0.24876442815931657,0.14814391084782214
2024-12-15 19:10:00,0.25780739571563654,0.14814391084782214
2024-12-15 19:20:00,0.17670505184870774,0.18262667404170058
2024-12-15 19:30:00,0.16473733021416978,0.212904222211935
2024-12-15 19:40:00,0.2980569396619922,0.2079630945591531
2024-12-15 19:50:00,0.2461826022014141,0.21963256624976474
2024-12-15 21:00:00,0.2508849453307003,0.21963256624976474
2024-12-15 21:40:00,0.25594900716224106,0.21963256624976474
2024-12-15 23:10:00,0.1839186272986594,0.2751414045618613
2024-12-15 23:20:00,0.16221041144201634,0.28271079160441986
2024-12-15 23:30:00,0.1620295520908901,0.28271079160441986
2024-12-16 00:30:00,0.1580506463661088,0.28271079160441986
2024-12-16 00:40:00,0.1999376720869814,0.279346619585505
2024-12-16 01:20:00,0.19415017285093777,0.279346619585505
2024-12-16 01:30:00,0.17199490233795345,0.279346619585505
2024-12-16 01:40:00,0.14495642934455666,0.279346619585505
2024-12-16 02:50:00,0.17780488092612828,0.25832054446728664
2024-12-16 03:00:00,0.3934018280313696,0.10222296278963293
2024-12-16 04:20:00,0.5972350676000662,-0.40021612823531355
2024-12-16 04:30:00,0.6273781199606505,-0.6558932016728486
2024-12-16 05:30:00,0.6336651354998053,-0.6934597892173988
2024-12-16 05:40:00,0.7277981215860688,-0.7442027171693658
2024-12-16 06:30:00,0.8215920751604663,-0.8403619673766847
2024-12-16 06:40:00,0.7703622572700687,-0.8596358695683847
2024-12-16 08:50:00,0.7321406477320248,-0.8627897808361176
2024-12-16 09:00:00,0.7471514127984238,-0.8402017687091171
2024-12-16 09:10:00,0.8017164562634337,-0.839240576703713
2024-12-16 09:20:00,0.7762826667285548,-0.8470903114145144
2024-12-16 09:30:00,0.6801206109696566,-0.8409226627131704
2024-12-16 09:40:00,0.6391740538746375,-0.8409226627131704
2024-12-16 13:30:00,0.6073428080763955,-0.8409226627131704
2024-12-16 13:40:00,0.5409932632631654,-0.8409226627131703
2024-12-16 13:50:00,0.5164790700704904,-0.8409226627131704
2024-12-16 14:00:00,0.49097273415163845,-0.839000278702362
2024-12-16 19:30:00,0.48467997704578175,-0.8347550140118263
